Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/proxy/get,33198,0,4200.0,6542.9200694958645,4.4201450000400655,66739.6118609995,264.0,79.02633395509832,0.0,4200,6900,9100,11000,16000,21000,28000,33000,48000,60000,67000
GET,/proxy/get [sqli-probe],2363,0,4200.0,6744.6168132086195,4.76595400050428,61142.72157399955,304.0,5.625014372428982,0.0,4200,6900,9400,11000,17000,22000,29000,35000,46000,61000,61000
POST,/proxy/post,11750,2,4200.0,6545.255071995602,4.694489999565121,68713.49664599984,473.92289361702126,27.97034230894648,0.00476090932918238,4200,6900,9200,11000,16000,21000,27000,32000,50000,65000,69000
,Aggregated,47311,2,4200.0,6553.5739488212475,4.4201450000400655,68713.49664599984,318.13358415590454,112.62169063647379,0.00476090932918238,4200,6900,9100,11000,16000,21000,28000,33000,48000,62000,69000
