Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/proxy/get,2038,1,7,8.748971850823418,3.826242000286584,102.57712899965554,263.88076545632975,34.509368192512724,0.01693295789622803,7,8,8,9,11,14,37,46,94,100,100
GET,/proxy/get [sqli-probe],136,0,7,8.600121992685672,4.6092599995972705,39.94268400037981,304.0,2.302882273887012,0.0,7,8,9,9,11,13,37,38,40,40,40
POST,/proxy/post,712,0,7,8.666695373602614,4.012580000562593,52.34089199984737,474.0,12.056266022114357,0.0,7,8,9,9,11,15,31,40,52,52,52
,Aggregated,2886,1,7,8.721659157653653,3.826242000286584,102.57712899965554,317.6094941094941,48.868516488514096,0.01693295789622803,7,8,8,9,11,14,35,44,94,100,100
