Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/proxy/get,952,51,1009.7050249996755,1150.4161042416101,1009.7050249996755,3095.811293999759,250.98214285714286,16.15140804690677,0.8652540025128627,1000,1000,1000,1000,1000,3000,3100,3100,3100,3100,3100
GET,/proxy/get [sqli-probe],62,1,1010.404646999632,1083.0172003870318,1010.404646999632,3016.0923069997807,299.43548387096774,1.0518774148195584,0.01696576475515417,1000,1000,1000,1000,1000,1100,2500,3000,3000,3000,3000
POST,/proxy/post,319,15,1010.0966700001663,1116.1273586332445,1010.0966700001663,3086.0856560002503,452.69905956112854,5.41207895689418,0.25448647132731256,1000,1000,1000,1000,1000,1700,3100,3100,3100,3100,3100
,Aggregated,1333,67,1009.7050249996755,1139.07563770894,1009.7050249996755,3095.811293999759,301.5086271567892,22.61536441862051,1.1367062385953293,1000,1000,1000,1000,1000,3000,3100,3100,3100,3100,3100
