Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/proxy/get,1974,0,7,9.095958859686071,3.7961150001137867,287.28292000050715,264.0,33.417237683050466,0.0,7,8,8,9,11,13,31,39,280,290,290
GET,/proxy/get [sqli-probe],137,0,7,8.017880591221804,4.047747000186064,43.987013999867486,304.0,2.3192307814477777,0.0,7,8,8,9,10,12,29,44,44,44,44
POST,/proxy/post,736,0,7,9.410019055704682,3.890803000103915,290.5192859998351,474.0,12.459517190843536,0.0,7,8,8,9,11,14,32,43,290,290,290
,Aggregated,2847,0,7,9.12527097120349,3.7961150001137867,290.5192859998351,320.21355813136637,48.19598565534178,0.0,7,8,8,9,11,13,31,42,280,290,290
